algorithm,train_size,test_size,lookback,after_days,epochs,batch_size,train_rmse,test_rmse,time_taken,file_name,stock_param
lstm_lookback_window,300,56,3,1,10,4,29.86,31.66,3,GOOGL,close
lstm_lookback_window,300,50,3,7,10,5,51.99,62.49,6,GOOGL,close
lstm_lookback_window,600,116,3,1,10,4,11.01,20.38,7,GOOGL,close
lstm_lookback_window,600,110,3,7,10,5,25.24,51.9,8,GOOGL,close
lstm_lookback_window,900,176,3,1,10,4,11.92,19.6,8,GOOGL,close
lstm_lookback_window,900,170,3,7,10,5,30.8,57.76,6,GOOGL,close
lstm_lookback_window,1200,236,3,1,10,4,27.86,20.24,10,GOOGL,close
lstm_lookback_window,1200,230,3,7,10,5,59.94,42.31,9,GOOGL,close
lstm_lookback_window,1500,296,3,1,10,4,25.38,17.46,16,GOOGL,close
lstm_lookback_window,1500,290,3,7,10,5,53.49,38.89,12,GOOGL,close
lstm_lookback_window,300,52,7,1,10,4,18.23,32.28,6,GOOGL,close
lstm_lookback_window,300,46,7,7,10,2,29.9,62.87,10,GOOGL,close
lstm_lookback_window,600,112,7,1,10,4,14.75,30.47,7,GOOGL,close
lstm_lookback_window,600,106,7,7,10,2,26.65,51.61,10,GOOGL,close
lstm_lookback_window,900,172,7,1,10,4,16.65,50.29,15,GOOGL,close
lstm_lookback_window,900,166,7,7,10,2,28.56,49.63,17,GOOGL,close
lstm_lookback_window,1200,232,7,1,10,4,30.1,23.26,11,GOOGL,close
lstm_lookback_window,1200,226,7,7,10,2,63.54,57.93,32,GOOGL,close
lstm_lookback_window,1500,292,7,1,10,4,26.23,20.79,15,GOOGL,close
lstm_lookback_window,1500,286,7,7,10,2,54.74,45.87,27,GOOGL,close
lstm_lookback_window,300,45,14,1,10,5,22.73,39.23,10,GOOGL,close
lstm_lookback_window,300,39,14,7,10,3,29.64,71.23,9,GOOGL,close
lstm_lookback_window,600,105,14,1,10,5,21.84,43.11,8,GOOGL,close
lstm_lookback_window,600,99,14,7,10,9,29.91,52.17,13,GOOGL,close
lstm_lookback_window,900,165,14,1,10,5,24.52,48.19,10,GOOGL,close
lstm_lookback_window,900,159,14,7,10,3,31.32,43.19,25,GOOGL,close
lstm_lookback_window,1200,225,14,1,10,15,41.78,29.48,13,GOOGL,close
lstm_lookback_window,1200,219,14,7,10,3,58.49,58.7,20,GOOGL,close
lstm_lookback_window,1500,285,14,1,10,15,29.08,26.64,18,GOOGL,close
lstm_lookback_window,1500,279,14,7,10,9,54.48,43.63,17,GOOGL,close
lstm_lookback_window,300,31,28,1,10,1,17.09,38.37,27,GOOGL,close
lstm_lookback_window,300,25,28,7,10,5,37.5,72.13,15,GOOGL,close
lstm_lookback_window,600,91,28,1,10,1,15.15,39.06,37,GOOGL,close
lstm_lookback_window,600,85,28,7,10,5,26.93,61.23,18,GOOGL,close
lstm_lookback_window,900,151,28,1,10,1,15.85,51.21,33,GOOGL,close
lstm_lookback_window,900,145,28,7,10,5,32.18,52.56,26,GOOGL,close
lstm_lookback_window,1200,211,28,1,10,1,25.72,24.29,68,GOOGL,close
lstm_lookback_window,1200,205,28,7,10,5,56.08,70.06,25,GOOGL,close
lstm_lookback_window,1500,271,28,1,10,1,22.76,20.63,93,GOOGL,close
lstm_lookback_window,1500,265,28,7,10,5,49.25,56.19,26,GOOGL,close
lstm_lookback_window,300,29,30,1,10,1,15.76,45.45,23,GOOGL,close
lstm_lookback_window,300,23,30,7,10,1,30.46,113.09,25,GOOGL,close
lstm_lookback_window,600,89,30,1,10,1,15.0,50.07,45,GOOGL,close
lstm_lookback_window,600,83,30,7,10,1,24.44,76.64,45,GOOGL,close
lstm_lookback_window,900,149,30,1,10,1,14.45,25.47,66,GOOGL,close
lstm_lookback_window,900,143,30,7,10,1,27.11,67.76,53,GOOGL,close
lstm_lookback_window,1200,209,30,1,10,1,24.7,29.65,59,GOOGL,close
lstm_lookback_window,1200,203,30,7,10,1,54.82,113.35,65,GOOGL,close
lstm_lookback_window,1500,269,30,1,10,1,22.85,29.33,109,GOOGL,close
lstm_lookback_window,1500,263,30,7,10,1,51.59,57.73,87,GOOGL,close
lstm_lookback_window,300,56,3,1,40,4,13.44,30.95,13,GOOGL,close
lstm_lookback_window,300,50,3,7,40,5,28.74,59.27,14,GOOGL,close
lstm_lookback_window,600,116,3,1,40,4,10.56,22.81,20,GOOGL,close
lstm_lookback_window,600,110,3,7,40,5,25.46,53.02,15,GOOGL,close
lstm_lookback_window,900,176,3,1,40,4,13.55,23.54,36,GOOGL,close
lstm_lookback_window,900,170,3,7,40,5,27.05,50.35,27,GOOGL,close
lstm_lookback_window,1200,236,3,1,40,4,22.19,15.32,42,GOOGL,close
lstm_lookback_window,1200,230,3,7,40,5,56.64,41.94,38,GOOGL,close
lstm_lookback_window,1500,296,3,1,40,4,21.92,16.33,58,GOOGL,close
lstm_lookback_window,1500,290,3,7,40,5,52.51,42.5,44,GOOGL,close
lstm_lookback_window,300,52,7,1,40,4,13.52,30.13,17,GOOGL,close
lstm_lookback_window,300,46,7,7,40,2,27.97,66.98,25,GOOGL,close
lstm_lookback_window,600,112,7,1,40,4,13.42,22.32,32,GOOGL,close
lstm_lookback_window,600,106,7,7,40,2,25.26,51.93,51,GOOGL,close
lstm_lookback_window,900,172,7,1,40,4,11.76,26.61,36,GOOGL,close
lstm_lookback_window,900,166,7,7,40,2,28.6,52.85,76,GOOGL,close
lstm_lookback_window,1200,232,7,1,40,4,23.01,16.36,56,GOOGL,close
lstm_lookback_window,1200,226,7,7,40,2,54.7,45.64,119,GOOGL,close
lstm_lookback_window,1500,292,7,1,40,4,20.16,14.51,74,GOOGL,close
lstm_lookback_window,1500,286,7,7,40,2,51.34,54.55,145,GOOGL,close
lstm_lookback_window,300,45,14,1,40,5,13.64,29.56,22,GOOGL,close
lstm_lookback_window,300,39,14,7,40,3,29.18,86.42,35,GOOGL,close
lstm_lookback_window,600,105,14,1,40,5,13.44,34.08,27,GOOGL,close
lstm_lookback_window,600,99,14,7,40,9,26.19,62.28,19,GOOGL,close
lstm_lookback_window,900,165,14,1,40,5,13.08,32.63,49,GOOGL,close
lstm_lookback_window,900,159,14,7,40,3,26.81,47.48,83,GOOGL,close
lstm_lookback_window,1200,225,14,1,40,15,24.99,22.56,16,GOOGL,close
lstm_lookback_window,1200,219,14,7,40,3,52.84,76.03,107,GOOGL,close
lstm_lookback_window,1500,285,14,1,40,15,23.59,17.34,30,GOOGL,close
lstm_lookback_window,1500,279,14,7,40,9,48.4,52.63,45,GOOGL,close
lstm_lookback_window,300,31,28,1,40,1,11.26,27.64,101,GOOGL,close
lstm_lookback_window,300,25,28,7,40,5,27.46,91.36,33,GOOGL,close
lstm_lookback_window,600,91,28,1,40,1,10.07,30.12,101,GOOGL,close
lstm_lookback_window,600,85,28,7,40,5,25.0,69.82,50,GOOGL,close
lstm_lookback_window,900,151,28,1,40,1,11.89,28.64,178,GOOGL,close
lstm_lookback_window,900,145,28,7,40,5,27.06,72.85,68,GOOGL,close
lstm_lookback_window,1200,211,28,1,40,1,22.02,22.9,297,GOOGL,close
lstm_lookback_window,1200,205,28,7,40,5,48.79,79.69,71,GOOGL,close